ID,Title,Original title,Popularity,Overview,Keywords,Genres,Collection,Original Language,Spoken Languages,Production Companies,Production Countries,Director,Release date,Runtime,Status,Tagline,Homepage,imdb_id,Budget,Revenue,Release year
2461,The Constant Gardener,The Constant Gardener,11.556484,"Justin Quayle is a low-level British diplomat who has always gone about his work very quietly, not causing any problems. But after his radical wife Tessa is killed he becomes determined to find out why, thrusting himself into the middle of a very dangerous conspiracy.","aids, diplomat, nairobi, politician, pharmaceutical industry, cancer, morgue, genocide in rwanda",Drama,Missing,en,"Deutsch, English, Italiano, Kiswahili","Studio Babelsberg, Epsilon Motion Pictures, UK Film Council, Scion Films, Focus Features, Blue Sky Films, Potboiler Productions","China, Germany, United Kingdom, United States of America",Fernando Meirelles,8/31/05,129,Released,Love. At any cost.,Missing,tt0387131,25000000,82466670,2005
2462,Happy Times,幸福时光,0.653271,"Zhao is an old laid-off worker who's dreaming of getting married. After trying unsuccessful proposals, he finally pair off with a gargantuan divorc√©e with two children. She, however, demands a lavish wedding and that Zhao finds a job and another place to stay for her blind step-daughter. Pretending he's the General Manager of a non-existent posh hotel ""Happy Times"", Zhao had to find ways and means of keeping both mother and stepdaughter happy.",Missing,Drama,Missing,zh,普通话,,China,Zhang Yimou,12/31/00,102,Released,Missing,Missing,tt0303243,1900000,240093,2000
2463,Midnight Special,Midnight Special,12.682927,A father and son go on the run after the dad learns his child possesses special powers.,"father son relationship, helicopter, fbi, motel, chase, child kidnapping, religious sect, goggles",Adventure,Missing,en,English,"Warner Bros., Faliro House Productions, Tri-State Pictures",United States of America,Jeff Nichols,2/18/16,112,Released,He's not like us.,http://www.midnightspecialmovie.com/,tt2649554,18000000,6212282,2016
2464,The Measure of a Man,La Loi du marché,4.778045,"At the age of 51 and after 20 months on unemployment, Thierry starts a new job that soon brings him face to face with a moral dilemma. How much is he willing to accept to keep his job?",unemployment,Drama,Missing,fr,Français,"TS Productions, Nord-Ouest Productions, Canal+, Arte France, Arte France Cinéma, Ciné+, Région Ile-de-France, Centre National de la Cinématographie (CNC)",France,St√©phane Briz√©,3/16/15,93,Released,Missing,Missing,tt4428814,0,106498,2015
2465,Dances with Wolves,Dances with Wolves,11.654349,"Wounded Civil War soldier, John Dunbar tries to commit suicide ‚Äì and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.","skab under tv, √òverste hylde, foran",Adventure,Missing,en,English,"Tig Productions, Majestic Films International","United Kingdom, United States of America",Kevin Costner,11/9/90,181,Released,Inside everyone is a frontier waiting to be discovered.,Missing,tt0099348,22000000,424208848,1990
2466,Take Me Home Tonight,Take Me Home Tonight,8.132811,"Recent MIT grad Matt Franklin (Topher Grace) should be well on his way to a successful career at a Fortune 500 company, but instead, he rebels against maturity by taking a job at a video store. Matt rethinks his position when his unrequited high-school crush, Tori (Teresa Palmer), walks in and invites him to an end-of-summer party. With the help of his twin sister (Anna Faris) and his best friend (Dan Fogler), Matt hatches a plan to change the course of his life.","becoming an adult, lie, night, sister, job, party, friends, deception, best friend",Comedy,Missing,en,English,"Imagine Entertainment, Rogue Pictures, Relativity Media, Internationale Filmproduktion Blackbird Dritte","United States of America, Germany",Michael Dowse,3/4/11,97,Released,Best. Night. Ever.,http://www.iamrogue.com/takemehometonight/fullsite/,tt0810922,19000000,6928068,2011
2467,Aloha,Aloha,8.451297,A celebrated military contractor returns to the site of his greatest career triumphs and re-connects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.,"love triangle, hawaii, satellite, military, duringcreditsstinger, communication",Drama,Missing,en,"Pусский, English","Scott Rudin Productions, Vinyl Films",United States of America,Cameron Crowe,5/27/15,105,Released,Sometimes you have to say goodbye before you can say hello.,Missing,tt1243974,37000000,26250020,2015
2468,Peggy Sue Got Married,Peggy Sue Got Married,7.471655,"Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past, just before she finished school.","time travel, high school reunion",Comedy,Missing,en,English,"American Zoetrope, TriStar Pictures",United States of America,Francis Ford Coppola,10/5/86,103,Released,"Knowing what you know now, what would you do differently?",Missing,tt0091738,18000000,41382841,1986
2469,The Arrival,The Arrival,6.497591,"Zane Ziminski is an astrophysicist who receives a message that seems to have extraterrestrial origins. Eerily soon after his discovery, Zane is fired. He then embarks on a search to determine the origins of the transmission that leads him into a Hitchcockian labyrinth of paranoia and intrigue.","greenhouse effect, global warming, extraterrestrial, astronomer, conspiracy, scientist, foot chase, desert, climatologist, observatory, alien language, golf club, volkswagen beetle, liquid nitrogen, screwdriver, cosmic zoom, radio telescope, satellite dish",Action,The Arrival Collection,en,English,"Live Entertainment, Steelwork Films, Mediaworks","Mexico, United States of America",David Twohy,5/31/96,115,Released,The greatest danger facing our world has been the planet's best kept secret... until now.,Missing,tt0115571,25000000,14048372,1996
2470,Collateral Damage,Collateral Damage,10.175503,Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio 'The Wolf' Perrini.,"terrorist, fbi, colombia, firemen, revenge, explosion, car explosion, bomb attack",Action,Missing,en,"English, Español","David Foster Productions, Bel Air Entertainment, Warner Bros., Hacienda Productions",United States of America,Andrew Davis,2/6/02,108,Released,What would you do if you lost everything?,http://www.wbshop.com/product/code/1000040993.do,tt0233469,85000000,78382433,2002
2471,More American Graffiti,More American Graffiti,3.084426,College graduates deal with Vietnam and other issues of the late '60s.,"mine, vietnam, smoking marijuana",Comedy,American Graffiti Collection,en,English,"Lucasfilm, Universal Pictures",United States of America,Bill L. Norton,8/3/79,110,Released,The sights and sounds of the '60s. There were bittersweet times. There were funny times. And it was all unforgettable.,Missing,tt0079576,2500000,15014674,1979
2472,Ghosts of Mars,Ghosts of Mars,7.058599,Melanie Ballard (Natasha Henstridge) is a hard nosed police chief in the year 2025. She and a police snatch squad are sent to Mars to apprehend a dangerous criminal James Williams (Ice Cube). Mars has been occupied by humans for some time and they have set up mining facilities. The mining activities on Mars have unleashed the spirits of alien beings who gradually possess the bodies of the workers. It soon turns out that catching the dangerous fugitive takes a back seat as the alien spirits begin to rid their planet of the 'invaders'.,"climbing up a wall, hung upside down, flashback within a flashback, cavern, battering, ram, ghost town",Action,Missing,en,English,"Screen Gems, Storm King Productions, Animationwerks",United States of America,John Carpenter,8/24/01,98,Released,Terror is the same on any planet.,http://www.theofficialjohncarpenter.com/ghost-of-mars/,tt0228333,28000000,14010832,2001
2473,The Good Dinosaur,The Good Dinosaur,12.319595,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,"tyrannosaurus rex, friends, alternate history, dinosaur, fear, storm, nature, human, journey",Adventure,Missing,en,English,"Walt Disney Pictures, Pixar Animation Studios",United States of America,Peter Sohn,11/14/15,93,Released,Little Arms With Big Attitude,http://movies.disney.com/the-good-dinosaur,tt1979388,175000000,331926147,2015
2474,May,May,8.398158,"Psychological horror about a lonely young woman traumatized by a difficult childhood, and her increasingly desperate attempts to connect with the people around her.","difficult childhood, psychoterror, murder, loneliness, artificial",Drama,Missing,en,English,"A Loopy Production LLC, 2 Loop Films",United States of America,Lucky McKee,1/13/02,93,Released,Be Careful... She Just Might Take Your Heart.,Missing,tt0303361,500000,150277,2002
2475,Tiny Times,小时代,1.832762,"When four best friends try and move forward in their work and personal life, they realize that trying to live their life's dream is more difficult than they imagine -- especially in the high fashion world of Shanghai.",shanghai,Drama,Tiny Times Collection,zh,普通话,"Beijing EE-Media Co., Beijing Forbidden City Film Co., Star Ritz Productions Co Ltd",China,Jingming Guo,6/27/13,116,Released,Missing,Missing,tt3043630,0,79,2013
2476,Penguins of Madagascar,Penguins of Madagascar,22.201607,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.","penguin, madagascar, 3d",Family,Madagascar Collection,en,English,DreamWorks Animation,United States of America,"Eric Darnell, Simon J. Smith",11/22/14,92,Released,The Movie Event That Will Blow Their Cover,Missing,tt1911658,132000000,373552094,2014
2477,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,8.205448,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","africa, indigenous, human animal relationship, bat",Crime,Ace Ventura Collection,en,English,"O Entertainment, Warner Bros., Morgan Creek Productions",United States of America,Steve Oedekerk,11/10/95,90,Released,New animals. New adventures. Same hair.,Missing,tt0112281,30000000,212385533,1995
2478,Blaze,Blaze,3.444266,"This movie tells the story of the latter years of Earl Long, a flamboyant governor of Louisiana. The aging Earl, an unapologetic habitue of strip joints, falls in love with young stripper Blaze Starr. When Earl and Blaze move in together, Earl's opponents use this to attack his controversial political program, which included civil rights for blacks in the 1950's.","civil rights activist, governor, stripper",Drama,Missing,en,English,Touchstone Pictures,United States of America,Ron Shelton,12/15/89,117,Released,"A governor. A stripper. Forced to chose between the office he held and the woman he loved, he chose both.",Missing,tt0096943,0,19131000,1989
2479,The Men Who Stare at Goats,The Men Who Stare at Goats,6.253084,"A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.","vietnam veteran, kuwait, new age, staring contest, drug use, paranoid fantasy, hippie lifestyle",Comedy,Missing,en,English,"BBC Films, Smoke House, Ruby Films","United Kingdom, United States of America",Grant Heslov,10/17/09,93,Released,No goats. No glory.,http://www.themenwhostareatgoatsmovie.com/,tt1234548,24000000,68729358,2009
2480,A Civil Action,A Civil Action,9.353499,"Jan Schlickmann is a cynical lawyer who goes out to ""get rid of"" a case, only to find out it is potentially worth millions. The case becomes his obsession, to the extent that he is willing to give up everything - including his career and his clients' goals, in order to continue the case against all odds.","success, advancement, right and justice, leukemia, lawyer, business start-up",Drama,Missing,pt,English,"Paramount Pictures, Wildwood Enterprises, Touchstone Pictures",United States of America,Steven Zaillian,3/5/98,115,Released,Justice has its price.,Missing,tt0120633,70000000,56702901,1998
2481,Cocktail,Cocktail,7.950488,"Gautam is an incorrigible flirt, who runs after every girl he sees. Meera is a pretty girl with desi values and attire, who comes to London from Delhi for a fresh start. Veronica is the spoilt bombshell who loves partying and drinking. Though different from each other, these three are perfect friends staying under one roof until friendship becomes confusing, and love becomes complicated.","friendship, friends",Romance,Missing,hi,हिन्दी,"Eros International, Illuminati Films Pvt Ltd, Prime Focus","India, United Kingdom",Homi Adajania,7/13/12,144,Released,Sometimes good friends may be too good to share...,Missing,tt2168910,6400000,18800000,2012
2482,The Next Three Days,The Next Three Days,9.591425,"A married couple's life is turned upside down when the wife is accused of a murder. Lara Brennan is arrested for murdering her boss with whom she had an argument. It seems she was seen leaving the scene of the crime and her fingerprints were on the murder weapon. Her husband, John would spend the next few years trying to get her released, but there's no evidence that negates the evidence against her. And when the strain of being separated from her family, especially her son, gets to her, John decides to break her out. So he does a lot of research to find a way.","evidence, passport, argument, county jail, fingerprints, appeal, escape artist",Romance,Missing,en,English,"Lionsgate, Fidélité Films, Hwy61","United States of America, France",Paul Haggis,11/18/10,133,Released,What if you had 72 hours to save everything you live for?,http://www.thenextthreedaysmovie.com/index.html,tt1458175,30000000,51148651,2010
2483,Elektra,Elektra,13.802674,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.","martial arts, based on comic, female assassin, spin off",Action,Missing,en,"English, 日本語","Twentieth Century Fox Film Corporation, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures, Marvel Enterprises, Horseshoe Bay Productions, Elektra Productions, SAI Productions","Canada, United States of America",Rob Bowman,1/13/05,97,Released,Looks can kill,http://marvel.com/movies/movie/13/elektra,tt0357277,43000000,56681566,2005
2484,The Internet's Own Boy: The Story of Aaron Swartz,The Internet's Own Boy: The Story of Aaron Swartz,6.114898,Programming prodigy and information activist Aaron Swartz achieved groundbreaking work in social justice and political organizing. His passion for open access ensnared him in a legal nightmare that ended with the taking of his own life at the age of 26.,"hacker, biography, internet, crime, news, aaron swartz",Crime,Missing,en,English,"Participant Media, FilmBuff, Luminant Media, Unjustus Films",United States of America,Brian Knappenberger,6/27/14,105,Released,Information is power.,Missing,tt3268458,0,48911,2014
2485,Once Upon a Time in China II,黃飛鴻之二男兒當自強,3.606688,"In the sequel to the Tsui Hark classic, Wong Fei-Hung faces The White Lotus society, a fanatical cult seeking to drive the Europeans out of China through violence, even attacking Chinese who follow Western ways. Wong must also defend Dr. Sun Yat Sen, a revolutionary, from the military.","china, martial arts, kung fu, congress, colonisation, martial arts master, sect, kung fu master",Action,Once Upon a Time in China Collection,cn,"广州话 / 廣州話, English",Golden Harvest Company,Hong Kong,Tsui Hark,9/16/92,113,Released,Missing,Missing,tt0105839,0,30399676,1992
2486,Noah,Noah,14.924487,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,"bible, god, noah, 3d",Drama,Missing,en,English,"Paramount Pictures, Regency Enterprises, Protozoa Pictures, Disruption Entertainment",United States of America,Darren Aronofsky,3/20/14,139,Released,The end of the world is just the beginning.,http://www.noahmovie.com,tt1959490,125000000,362637473,2014
2487,Speed Racer,Speed Racer,7.134168,"Speed Racer is the tale of a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life, he must team up with the police and the mysterious Racer X to bring an end to the corruption and criminal activities. Inspired by the cartoon series.","car race, loss of brother, chimp, family, duringcreditsstinger, woman director",Action,Missing,en,English,"Village Roadshow Pictures, Studio Babelsberg, Anarchos Productions, Silver Pictures, Warner Bros., Velocity Productions","Australia, Germany, United States of America","Lilly Wachowski, Lana Wachowski",5/9/08,135,Released,Go!,http://www.speedracerthemovie.warnerbros.com/,tt0811080,120000000,93945766,2008
2488,Scarlet Street,Scarlet Street,6.360746,A man in mid-life crisis befriends a young woman after rescuing her from an attack. She believes he is rich and her boyfriend persuades her to con him out of his fortune.,"painter, roommate, pimp, death sentence, femme fatale, murder, electric chair, scam, new york city, classic noir, newspaper headline",Drama,Missing,en,English,"Diana Productions, Inc., Fritz Lang Productions",United States of America,Fritz Lang,12/28/45,103,Released,The things she does to men can end only one way - in murder!,Missing,tt0038057,1202007,2948386,1945
2489,Zombieland,Zombieland,11.063029,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.","washington d.c., sister sister relationship, post-apocalyptic, road trip, blood splatter, parody, survival, zombie, violence, survival horror, amusement park, twinkie, body count, zombification, disposing of a dead body, bitten on the arm, loner, aftercreditsstinger, zombie apocalypse, fear of clowns",Comedy,Missing,en,English,"Columbia Pictures, Relativity Media, Pariah",United States of America,Ruben Fleischer,10/7/09,88,Released,This place is so dead,http://www.zombieland.com/,tt1156398,23600000,102391382,2009
2490,Diary of a Wimpy Kid: The Long Haul,Diary of a Wimpy Kid: The Long Haul,28.176992,A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.,Missing,Comedy,Diary of a Wimpy Kid Collection,en,English,Twentieth Century Fox,United States of America,David Bowers,5/19/17,91,Released,Missing,Missing,tt6003368,22000000,40120144,2017
2491,Never Talk to Strangers,Never Talk to Strangers,7.506958,"Sarah Taylor, a police psychologist, meets a mysterious and seductive young man, Tony Ramirez, and falls in love with him. As a cause of this relationship, she changes her personality when she begins to receive anonymous telephone calls.","telephone, police, love, police psychologist, erotic thriller",Thriller,Missing,en,English,TriStar Pictures,"United States of America, Canada, Germany",Peter Hall,10/20/95,86,Released,"In A World Where Love Isn't Always Safe, Trust Can Be Deadly.",Missing,tt0113965,6400000,6,1995
2492,Logan,Logan,0.588872,"""Logan"" is a story about two teenage brothers, Tyler and Logan. Logan, the younger of the two, has got his mind set on a seemingly impossible project which turns out to be much harder than he could ever imagine. At the turn of an unexpected tragedy, the brothers' relationship is altered forever and Tyler is challenged to do whatever it takes to see his little brother's project succeed, even if that means risking it all.",Missing,Comedy,Missing,en,English,"logan films, Real Bean Entertainment, Avilon Audio",United States of America,"Kyle Lawrence, Caleb Doyle",9/10/10,94,Released,A Beacon of Light in a World of Selfishness,http://www.realbean.com/l/home.php,tt1483010,135000,10474,2010
2493,Home Run,Home Run,1.472463,"A pro ball player with a substance abuse problem is forced into rehab in his hometown, finding new hope when he gets honest about his checkered past, and takes on coaching duties for a misfit Little League team",baseball,Drama,Missing,en,"English, Deutsch","Samuel Goldwyn, Provident Films",United States of America,David Boyd,4/19/13,114,Released,Freedom is possible,http://www.homerunthemovie.com/,tt2051894,1200000,2861020,2013
2494,The Station Agent,The Station Agent,5.85469,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.","train station, new jersey, small person, friendship, newfoundland",Drama,Missing,en,English,"Next Wednesday Productions, SenArt Films",United States of America,Tom McCarthy,1/26/03,88,Released,Loneliness is much better when you have got someone to share it with.,Missing,tt0340377,500000,8679814,2003
2495,Blank City,Blank City,0.31754,"In the years before Ronald Reagan took office, Manhattan was in ruins. But true art has never come from comfort, and it was precisely those dire circumstances that inspired artists like Jim Jarmusch, Lizzy Borden, and Amos Poe to produce some of their best works. Taking their cues from punk rock and new wave music, these young maverick filmmakers confronted viewers with a stark reality that stood in powerful contrast to the escapist product being churned out by Hollywood.","1970s, punk rock, drug dealing, woman director",Documentary,Missing,en,English,Insurgent Media,United States of America,Celine Danhier,4/6/11,94,Released,Missing,http://www.blankcityfilm.com/,tt1398949,0,99303,2011
2496,Wings of Desire,Der Himmel über Berlin,6.357321,Wings of Desire is Wim Wender‚Äôs artistically beautiful film about the lonely and immortal life of angels during a post-war Berlin. It‚Äôs a poetic journey from the perspective of the angels of which one falls in love with a living woman and wants to become a mortal human thus giving up his heavenly life. Filmed in black and white and with a feeling of celebrating life.,"berlin, angel, circus, berlin wall, library, dream, immortality, mortality",Drama,Missing,de,"English, Français, Deutsch","Road Movies Filmproduktion GmbH, Argos Films, Westdeutscher Rundfunk (WDR)","Germany, France",Wim Wenders,1/1/87,128,Released,There are angels on the streets of Berlin.,http://www.wim-wenders.com/movies/movies_spec/wingsofdesire/wingsofdesire.htm,tt0093191,2500000,3200000,1987
2497,Below,Below,11.19785,"In the dark silence of the sea during World War II, the submarine U.S.S. Tiger Shark prowls on what should be a routine rescue mission. But for the shell-shocked crew, trapped together in the sub's narrow corridors and constricted spaces, this is about to become a journey into the sensory delusions, mental deceptions and runaway fear that lurk just below the surface of the ocean.","suicide, male nudity, diving, submarine, nurse, world war ii, nudity, soldier, corpse, explosion, rescue team, mirror, underwater scene, ghost, depth charge",Thriller,Missing,en,English,"Dimension Films, Protozoa Pictures",United States of America,David Twohy,10/11/02,105,Released,Six hundred feet beneath the surface terror runs deep,Missing,tt0276816,0,605562,2002
2498,Donnie Brasco,Donnie Brasco,12.201954,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,"undercover, colombia, mafia, mobster, dirty cop, informant, stealing money, marriage counselor, shaving cream, playing cards",Crime,Missing,en,"日本語, English, Italiano","TriStar Pictures, Mark Johnson Productions, Phoenix Pictures, Baltimore Pictures",United States of America,Mike Newell,2/27/97,127,Released,Based on a true story.,Missing,tt0119008,35000000,41954997,1997
2499,Hooked on the Game 2. The Next Level,Na Igre 2. Novyy Uroven,0.884241,"The continuation of the adventures of the heroes of ""Hooked on the Game"".",Missing,Action,Hooked Collection,ru,Pусский,,Russia,Pavel Sanaev,4/15/10,0,Released,Missing,Missing,tt1620549,3500000,2294357,2010
2500,Legends of the Fall,Legends of the Fall,12.199047,"An epic tale of three brothers and their father living in the remote wilderness of 1900s USA and how their lives are affected by nature, history, war, and love.","brother brother relationship, montana, based on novel, world war i, journey round the world",Adventure,Missing,en,", English","Bedford Falls Productions, TriStar Pictures, Pangaea",United States of America,Edward Zwick,12/16/94,133,Released,After the Fall from Innocence the Legend begins.,Missing,tt0110322,30000000,160638883,1994
2501,My Soul to Take,My Soul to Take,5.282976,A serial killer returns to his hometown to stalk seven children who share the same birthday as the date he was allegedly put to rest.,"soul, serial killer, slasher, teenager, 3d",Drama,Missing,en,English,"Relativity Media, Rogue",United States of America,Wes Craven,10/8/10,107,Released,Only One Has The Power To Save Their Souls,Missing,tt0872230,25000000,19829957,2010
2502,Hyde Park on Hudson,Hyde Park on Hudson,3.724207,"The story of the love affair between FDR and his distant cousin Margaret Stuckley, centered around the weekend in 1939 when the King and Queen of the United Kingdom visited upstate New York.","queen, franklin delano roosevelt, park, hyde park, queen of england, king of england, 1930s",Comedy,Missing,en,English,"Daybreak Pictures, Free Range Films",United Kingdom,Roger Michell,12/7/12,94,Released,The President. The First Lady. The King. The Queen. The Mother. The Mistress...One weekend would unite two great nations...After cocktails of course.,Missing,tt1477855,0,8887603,2012
2503,Friday,Friday,14.56965,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.","rap music, parent child relationship, rapper, job",Comedy,Friday Collection,en,English,New Line Cinema,United States of America,F. Gary Gray,4/26/95,91,Released,A lot can go down between thursday and saturday...,http://www.newline.com/properties/friday.html,tt0113118,3500000,28215918,1995
2504,National Lampoon’s European Vacation,National Lampoon’s European Vacation,11.457485,"The Griswalds win a vacation to Europe on a game show, and thus pack their bags for the continent. They do their best to catch the flavor of Europe, but they just don't know how to be be good tourists. Besides, they have trouble taking holidays in countries where they CAN speak the language.","london england, game show, chaos, travel, family vacation, eiffel tower paris, marriage problems, interrupted vacation, woman director",Adventure,National Lampoon's Vacation Collection,en,English,Warner Bros.,United States of America,Amy Heckerling,7/25/85,95,Released,"For over two thousand years, Europe has survived many great disasters. Now for the real test. Chevy Chase & his family are coming from America!",Missing,tt0089670,0,49364621,1985
2505,Loverboy,Loverboy,5.072902,"Randy Bodek works as a pizza delivery boy at Senor Pizza to make a few extra bucks. Some customers are special, though: When the order is for a pizza with extra anchovies, it means the female customers are looking for some loving. ""Loverboy's"" reputation soon makes him very popular, but when Mom Bodek suddenly feels like some extra anchovies, things are looking grim for young Randy","infidelity, pizza delivery boy, marital problem, delivery boy, woman director, sex worker, college student",Comedy,Missing,en,English,"TriStar Pictures, Crescent Film Enterprises",,Joan Micklin Silver,4/28/89,98,Released,Randy Bodek has no idea how to treat a woman . . . but he's working on it.,Missing,tt0097790,0,3960327,1989
2506,We Are from the Future 2,My Iz Budushchego 2,1.218959,"Two young Russian historians are going to Ukraine to take part in the reconstruction of the Lvov-Sandomierz operation in July 1944. On sight they fall into conflict with Ukrainian nationalists, and some magical twist of fate, move into the middle of real warfare from more than 60 years. Miraculously avoiding death at the hands of Ukrainian nationalists, caught in the middle of fighting between the Red Army and the Nazis.",Missing,War,We Are From The Future Collection,en,Pусский,A-1 Kino Video,Russia,Dmitri Voronkov,2/18/10,101,Released,Missing,Missing,tt1590125,0,8910819,2010
2507,The Ides of March,The Ides of March,6.82647,Dirty tricks stand to soil an ambitious young press spokesman's idealism in a cutthroat presidential campaign where 'victory' is relative.,"ohio, politics, dirty tricks, presidential campaign, endorsement, campaign speech, presidential debate",Drama,Missing,en,English,"Appian Way, Crystal City Entertainment, Cross Creek Pictures, Exclusive Media Group, Smokehouse Pictures",United States of America,George Clooney,9/24/11,101,Released,Ambition seduces. Power corrupts.,http://www.sonypictures.com/movies/theidesofmarch/,tt1124035,12500000,75993061,2011
2508,Harsh Times,Harsh Times,7.659357,"Jim Davis is an ex-Army Ranger who finds himself slipping back into his old life of petty crime after a job offer from the LAPD evaporates. His best friend is pressured by his girlfriend Sylvia to find a job, but Jim is more interested in hanging out and making cash from small heists, while trying to get a law enforcement job so he can marry his Mexican girlfriend.","watching a movie, playing pool, vinegar",Crime,Missing,en,"English, Español, 한국어/조선말",The Weinstein Company,United States of America,David Ayer,9/11/05,120,Released,Take A Ride To The Edge,http://www.harshtimes.com/,tt0433387,2000000,5967038,2005
2509,Pina,Pina,12.452985,"PINA is a feature-length dance film in 3D with the ensemble of the Tanztheater Wuppertal Pina Bausch, featuring the unique and inspiring art of the great German choreographer, who died in the summer of 2009.","choreographer, choreography, modern dance",Documentary,Missing,de,"Hrvatski, English, Français, Deutsch, Italiano, 한국어/조선말, Português, Pусский, Español","Neue Road Movies, Zweites Deutsches Fernsehen (ZDF), ARTE, Eurowide Film Production, The Criterion Collection, Recorded Picture Company (RPC)","France, Germany, United Kingdom",Wim Wenders,2/24/11,106,Released,"Dance, dance, otherwise we are lost.",http://www.pina-film.de/,tt1440266,4317946,14624826,2011
2510,Wild Target,Wild Target,6.712894,"Victor Maynard is a middle-aged, solitary assassin, who lives to please his formidable mother, despite his own peerless reputation for lethal efficiency. His professional routine is interrupted when he finds himself drawn to one of his intended victims, Rose. He spares her life, unexpectedly acquiring in the process a young apprentice, Tony. Believing Victor to be a private detective, his two new companions tag along, while he attempts to thwart the murderous attentions of his unhappy client","london england, mother, robbery, detective, assassin, hitman, insomnia, apprentice, remake, revenge, murder, gangster, crime, art, surveillance",Action,Missing,en,English,"Matador Pictures, Isle of Man Film, Magic Light Pictures, CinemaNX, Cinema Four, Regent Capital, Entertainment Film Distributors","France, United Kingdom",Jonathan Lynn,6/17/10,98,Released,They said 'Take her out'. He got the wrong idea.,http://www.wildtargetmovie.com/,tt1235189,8000000,3453043,2010
2511,The Hijack That Went South,Kaappari,0.474578,Aarno Lamminparras hijacked an airplane with a gun in 1978. A true story.,"airplane, hijack",Action,Missing,fi,suomi,,,Aleksi M√§kel√§,1/17/13,93,Released,Missing,Missing,tt2088871,1800000,532269,2013
2512,Howards End,Howards End,10.854598,"Merchant Ivory‚Äôs adaptation of EM Forster‚Äôs classic 1910 novel, starring Emma Thompson, Helena Bonham Carter, Anthony Hopkins & Vanessa Redgrave returns to the big screen in a beautiful new 4K restoration. Stunning location photography, lavishly detailed sets & elegant period costumes, this compelling saga follows the interwoven fates and misfortunes of three families amid the changing times of Edwardian England. It tells the story of two free-spirited, cosmopolitan sisters, Margaret (Emma Thompson) and Helen Schlegel (Helena Bonham Carter), who collide with the world of the very wealthy ¬≠¬≠‚Äì one sister benefiting from the acquaintance with the Wilcoxes (owners of the beloved country home Howards End), the other all but destroyed by it. Anthony Hopkins is the conservative industrialist Henry Wilcox and Vanessa Redgrave is his ailing wife Ruth Wilcox.","based on novel, sister sister relationship, empowerment, sister, turn of the century, edwardian england",Drama,Missing,en,"English, Deutsch","Merchant Ivory Productions, The Criterion Collection",United Kingdom,James Ivory,3/13/92,140,Released,Missing,http://www.bfi.org.uk/whats-on/bfi-film-releases/howards-end,tt0104454,0,25966555,1992
2513,Bride of Chucky,Bride of Chucky,13.018491,"Chucky hooks up with another murderous doll, the bridal gown-clad Tiffany, for a Route 66 murder spree with their unwitting hosts.","route 66, puppet, evil doll, killer doll, killer toys, toy comes to life, chucky",Horror,Child's Play Collection,en,English,"Universal Pictures, Midwinter Productions Inc.","Canada, United States of America",Ronny Yu,10/16/98,89,Released,Chucky Gets Lucky.,Missing,tt0144120,25000000,50671850,1998
2514,Blow Out,Blow Out,7.536295,"Jack Terry is a master sound recordist who works on grade-B horror movies. Late one evening, he is recording sounds for use in his movies when he hears something unexpected through his sound equipment and records it. Curiosity gets the better of him when the media become involved, and he begins to unravel the pieces of a nefarious conspiracy. As he struggles to survive against his shadowy enemies and expose the truth, he does not know whom he can trust.","audio tape, hitman, presidential election, noises, yell, politics, faithlessness",Drama,Missing,en,English,Cinema 77,United States of America,Brian De Palma,7/24/81,108,Released,Murder has a sound all of its own!,Missing,tt0082085,18000000,12000000,1981
